Datetime,Open,High,Low,Close,Adj Close,Volume,Timestamp
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,2091358,2024-08-28 06:00:00
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 06:00:00
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 06:00:00
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 06:00:00
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 06:00:00
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76000.0,76000.0,1146428,2024-08-28 06:00:00
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 07:00:00
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 07:00:00
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 07:00:00
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 07:00:00
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 07:00:00
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 07:00:00
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 08:00:01
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 08:00:01
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 08:00:01
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 08:00:01
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 08:00:01
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 08:00:01
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 08:17:44
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 08:17:44
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 08:17:44
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 08:17:44
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 08:17:44
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 08:17:44
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 08:17:44
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 08:17:44
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 08:17:44
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 08:17:44
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 08:17:44
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 08:17:44
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 08:21:29
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 08:21:29
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 08:21:29
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 08:21:29
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 08:21:29
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 08:21:29
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 23:39:39
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 23:39:39
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 23:39:39
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 23:39:39
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 23:39:39
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 23:39:39
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 23:39:39
2024-08-28 10:00:00+09:00,75800.0,75800.0,75500.0,75600.0,75600.0,1084755,2024-08-28 23:39:39
2024-08-28 11:00:00+09:00,75600.0,75800.0,75500.0,75600.0,75600.0,733617,2024-08-28 23:39:39
2024-08-28 12:00:00+09:00,75700.0,75700.0,75400.0,75600.0,75600.0,738709,2024-08-28 23:39:39
2024-08-28 13:00:00+09:00,75500.0,76300.0,75500.0,76100.0,76100.0,1901976,2024-08-28 23:39:39
2024-08-28 14:00:00+09:00,76200.0,76300.0,75900.0,76300.0,76300.0,1576762,2024-08-28 23:39:39
2024-08-28 09:00:00+09:00,75800.0,76100.0,75400.0,75700.0,75700.0,0,2024-08-28 23:39:39
